Player,Driving_Rank,Average_Drive_Distance,Year,Percent_Fairway_Hit,Percent_Greens_Hit,Top_10's,Percent_BreakPar_Rank,Avg_Score_Rank,Money_Rank,Percent_Par3_Bird,Percent_Par4_Bird,Percent_Par5_Bird,Avg_scoreB4cut,Masters_Top_10,Masters_Top_25
Fuzzy Zoeller,1.0,267.4,1980,63.1,62.81,4.0,32.0,38.0,29.0,12.14,12.31,41.53,71.5,0.0,1.0
Barney Thompson,2.0,267.1,1980,56.75,59.26,,141.0,130.0,124.0,5.56,7.61,33.82,72.7,,
J.C. Snead,3.0,266.9,1980,59.13,63.27,1.0,124.0,28.0,42.0,5.56,12.2,28.15,71.1,0.0,1.0
Buddy Gardner,4.0,266.8,1980,56.56,62.91,,50.0,88.0,84.0,13.7,10.51,38.46,72.2,,
Jack Nicklaus,5.0,265.9,1980,70.36,70.83,1.0,26.0,9.0,26.0,13.75,17.16,25.0,71.4,0.0,0.0
Dan Pohl,5.0,265.9,1980,61.13,67.44,4.0,14.0,18.0,8.0,11.9,13.85,43.75,71.39,,
Andy Bean,7.0,265.5,1980,66.67,66.36,3.0,1.0,6.0,5.0,15.71,17.11,43.75,70.67,0.0,1.0
Bill Sander,8.0,264.6,1980,46.3,60.29,,27.0,102.0,101.0,16.19,13.36,35.96,73.17,,
John Fought,9.0,264.1,1980,60.5,62.42,1.0,42.0,97.0,76.0,11.36,13.04,37.5,72.75,0.0,0.0
John Adams,10.0,263.9,1980,50.0,60.83,,46.0,126.0,117.0,13.75,11.5,33.75,73.62,,
Greg Powers,11.0,263.6,1980,66.96,55.9,,85.0,134.0,155.0,17.19,10.63,26.56,72.82,,
Bill Calfee,12.0,262.6,1980,59.82,60.69,1.0,51.0,46.0,49.0,13.46,11.08,38.57,71.35,,
Tom Weiskopf,13.0,262.5,1980,64.05,62.22,2.0,55.0,71.0,60.0,11.67,11.15,40.57,72.13,0.0,0.0
Lon Hinkle,14.0,262.3,1980,62.21,67.74,2.0,8.0,33.0,31.0,13.33,13.1,47.06,72.4,,
Joe Hager,15.0,261.6,1980,57.14,60.37,,55.0,95.0,118.0,11.11,12.5,36.89,72.53,,
Roger Calvin,15.0,261.6,1980,58.0,67.78,,68.0,73.0,110.0,13.54,11.94,32.56,73.13,,
Tom Purtzer,17.0,261.5,1980,65.51,66.83,3.0,4.0,10.0,19.0,10.29,13.49,54.31,71.33,0.0,0.0
Craig Stadler,18.0,261.4,1980,57.34,62.61,3.0,37.0,25.0,2.0,10.81,13.61,36.76,71.52,0.0,0.0
Terry Mauney,19.0,261.2,1980,55.75,62.74,,63.0,48.0,74.0,7.93,13.4,33.97,71.78,,
Andy North,20.0,260.7,1980,58.48,63.02,1.0,17.0,19.0,41.0,12.5,12.73,42.37,71.32,0.0,1.0
Dave Barr,21.0,260.6,1980,51.59,65.84,1.0,74.0,89.0,86.0,11.54,9.44,42.71,73.1,,
Bruce Lietzke,21.0,260.6,1980,68.16,68.73,3.0,23.0,3.0,18.0,16.18,13.49,33.62,71.32,0.0,0.0
Tim Simpson,23.0,260.5,1980,59.96,66.84,1.0,58.0,45.0,71.0,13.28,11.65,36.84,71.56,,
Tom Watson,24.0,260.4,1980,63.01,66.47,5.0,3.0,1.0,1.0,13.39,14.38,47.0,69.79,0.0,1.0
Dana Quigley,25.0,260.2,1980,61.04,64.14,,64.0,113.0,140.0,9.52,11.98,41.43,73.71,,
Jim Chancey,26.0,259.9,1980,61.22,56.08,,99.0,113.0,129.0,11.11,8.62,44.62,74.25,,
Peter Jacobsen,27.0,259.2,1980,70.13,65.15,2.0,15.0,63.0,47.0,16.41,11.8,45.45,72.24,,
Jim Thorpe,27.0,259.2,1980,54.97,61.11,,119.0,122.0,152.0,10.0,10.74,29.27,73.24,,
Keith Fergus,29.0,259.0,1980,68.12,69.38,4.0,7.0,2.0,11.0,16.25,13.36,40.28,70.62,0.0,0.0
Jerry Pate,30.0,258.8,1980,65.83,60.06,3.0,12.0,11.0,9.0,12.16,16.23,36.03,70.86,1.0,1.0
Stan Lee,31.0,258.5,1980,51.59,67.49,,96.0,137.0,141.0,13.46,11.22,31.82,73.47,,
Bob Byman,32.0,258.4,1980,64.86,57.11,,135.0,141.0,131.0,5.21,9.45,36.71,74.0,,
Larry Ziegler,33.0,258.2,1980,55.63,60.1,,109.0,125.0,102.0,11.54,11.56,28.81,72.77,,
Forrest Fezler,34.0,257.8,1980,64.29,64.73,1.0,48.0,63.0,94.0,14.44,11.16,36.59,73.13,,
David Graham,35.0,257.0,1980,66.21,57.91,1.0,91.0,52.0,51.0,14.42,11.19,30.21,71.5,1.0,1.0
Johnny Miller,36.0,256.9,1980,71.13,68.06,2.0,11.0,7.0,15.0,16.3,14.02,42.11,70.75,0.0,0.0
Billy Kratzert,37.0,256.7,1980,64.11,67.48,3.0,88.0,27.0,21.0,9.15,11.9,30.52,71.43,0.0,1.0
Dan Halldorson,38.0,256.4,1980,66.67,67.99,1.0,27.0,24.0,23.0,15.24,13.17,38.19,72.24,,
Dave Eichelberger,39.0,256.0,1980,58.04,67.08,2.0,18.0,28.0,10.0,17.5,12.56,30.14,72.12,0.0,0.0
Steve Melnyk,39.0,256.0,1980,57.65,59.52,,20.0,85.0,92.0,11.11,15.56,34.04,72.12,,
Leonard Thompson,41.0,255.8,1980,63.95,65.63,3.0,19.0,12.0,17.0,8.14,15.61,38.13,71.13,0.0,0.0
Frank Conner,42.0,255.4,1980,54.86,58.22,1.0,92.0,92.0,83.0,8.16,12.64,30.77,73.56,,
